Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
211,Denim Mid Rise Pleated Wide Leg Jeans,Blue,Oversized,Mid Rise,Long,90% Cotton 10% Polyester,Solid,Yes,School Daily Casual,Pleated,Wide Leg Trousers,https://img1.shopcider.com/product/1684240296000-jp6kk5.jpg,https://www.shopcider.com/goods/denim-pleated-wide-leg-jeans-1037813?style_id=142284&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=1037813&shopPage=12&shopIndex=224&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B224&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=225&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjM5LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyMy45NCwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTY4NDI0MDI5NjAwMC1qcDZrazUuanBnIiwic3B1IjoxMDM3ODEzLCJzcHVDb2RlIjoiQ0QyMDIzMDQyMzI5OTA2NUpOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2Nzk5NTk0LWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU4NGY1NzI4LWI0YjItNGFjNS04YmU4LTA3NzM4NDYxYTdjMCJ9&activityId=9324&activity_id=9324
212,Cider Denim Low Rise Solid Wide Leg Jeans,Blue,Oversized,Low Rise,Long,76% Cotton 17% viscose 7% Polyester,Solid,Yes,Daily Casual,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1717383436000-NrEDTs.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-solid-wide-leg-jeans-110111575?style_id=2002540&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=110111575&shopPage=12&shopIndex=225&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B225&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=226&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQyLjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyNS43NCwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcxNzM4MzQzNjAwMC1OckVEVHMuanBnIiwic3B1IjoxMTAxMTE1NzUsInNwdUNvZGUiOiJDRDIwMjQwMzA4NDU3NjMwSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTk1OTQtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNTg0ZjU3MjgtYjRiMi00YWM1LThiZTgtMDc3Mzg0NjFhN2MwIn0%3D&activityId=9324&activity_id=9324
213,Stretch Cider Denim Low Rise Flared Jeans With Belt,Blue,Slim,Low Rise,Long,69% Cotton 29% Polyester 2% Elastane,Solid,Yes,Daily Casual,Belted Button Pocket Zipper,Flared Trousers,https://img1.shopcider.com/product/1761104318000-N7EWPZ.jpg,https://www.shopcider.com/goods/stretch-cider-denim-low-rise-flared-jeans-with-belt-114999807?style_id=2218833&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114999807&shopPage=12&shopIndex=226&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B226&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=227&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzYxMTA0MzE4MDAwLU43RVdQWi5qcGciLCJzcHUiOjExNDk5OTgwNywic3B1Q29kZSI6IkNEMjAyNTA3MjQ2MzI3NDNKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5OTU5NC1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1ODRmNTcyOC1iNGIyLTRhYzUtOGJlOC0wNzczODQ2MWE3YzAifQ%3D%3D&activityId=9324&activity_id=9324
214,Denim Mid Rise Button Wide Leg Jeans,Blue,Oversized,Mid Rise,Long,90% Cotton 10% Polyamide,Solid,Yes,Daily Casual,Button,Wide Leg Trousers,https://img1.shopcider.com/product/1748410911000-2YNeAj.jpg,https://www.shopcider.com/goods/denim-mid-rise-button-wide-leg-jeans-114659187?style_id=2167550&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114659187&shopPage=12&shopIndex=227&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B227&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=228&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzUwODMwMjYzMDAwLVpKNXBTay5qcGciLCJzcHUiOjExNDY1OTE4Nywic3B1Q29kZSI6IkNEMjAyNTA0MDI2MDgyOTZKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5OTU5NC1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1ODRmNTcyOC1iNGIyLTRhYzUtOGJlOC0wNzczODQ2MWE3YzAifQ%3D%3D&activityId=9324&activity_id=9324
215,Denim Low Waist Solid Split Wide Leg Jeans,Black,Oversized,Low Rise,Long,100% Cotton,Solid,Yes,Daily Casual Coffee Shop Work,Button Pocket Split,Wide Leg Trousers,https://img1.shopcider.com/product/1692624214000-SRfDNN.jpg,https://www.shopcider.com/goods/denim-middle-waist-solid-split-wide-leg-jeans-100296946?style_id=1153105&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=100296946&shopPage=12&shopIndex=228&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B228&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=229&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQyLjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNjkyNjI0MjE0MDAwLVNSZkROTi5qcGciLCJzcHUiOjEwMDI5Njk0Niwic3B1Q29kZSI6IkNEMjAyMzA3MDUzMzkwMjFKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5OTU5NC1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1ODRmNTcyOC1iNGIyLTRhYzUtOGJlOC0wNzczODQ2MWE3YzAifQ%3D%3D&activityId=9324&activity_id=9324
217,Cider Denim Low Rise Button Cargo Jeans,Green ,Oversized,Low Rise,Long,100% Cotton,Solid,Yes,Daily Casual,Button Pocket,Cargo,https://img1.shopcider.com/product/1758622447000-dmSASm.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-button-cargo-jeans-114936492?style_id=2207036&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114936492&shopPage=12&shopIndex=230&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B230&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=231&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU4NjIyNDQ3MDAwLWRtU0FTbS5qcGciLCJzcHUiOjExNDkzNjQ5Miwic3B1Q29kZSI6IkNEMjAyNTA2MTk2MjQ1NjFKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5OTU5NC1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1ODRmNTcyOC1iNGIyLTRhYzUtOGJlOC0wNzczODQ2MWE3YzAifQ%3D%3D&activityId=9324&activity_id=9324
218,High Stretch Denim High Rise Solid Pocket Straight Leg Jeans,Black,Slim,High Rise,Long,57% Cotton 32% Polyester 10% viscose 1% spandex,Solid,Yes,Work,Pocket,Straight Leg Trousers,https://img1.shopcider.com/product/1728368864000-8Ttxxz.jpg,https://www.shopcider.com/goods/denim-high-rise-solid-pocket-straight-leg-jeans-113958772?style_id=2066434&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=113958772&shopPage=12&shopIndex=231&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B231&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=232&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjM3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNC4xMSwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcyODM2ODg2NDAwMC04VHR4eHouanBnIiwic3B1IjoxMTM5NTg3NzIsInNwdUNvZGUiOiJDRDIwMjQwNjI5NTA0MjU1Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTk1OTQtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNTg0ZjU3MjgtYjRiMi00YWM1LThiZTgtMDc3Mzg0NjFhN2MwIn0%3D&activityId=9324&activity_id=9324
221,Cider Denim Mid Rise Wide Leg Jeans,Blue,Oversized,Mid Rise,Long,80% Cotton 20% Polyester,Solid,Yes,School Work,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1710991512000-QyDMKi.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-regular-jeans-108171532?style_id=1169978&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=108171532&shopPage=12&shopIndex=234&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B234&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=235&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQyLjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyNS43NCwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcxMDk5MTUxMjAwMC1ReURNS2kuanBnIiwic3B1IjoxMDgxNzE1MzIsInNwdUNvZGUiOiJDRDIwMjQwMTIwNDQ4NDExSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTk1OTQtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNTg0ZjU3MjgtYjRiMi00YWM1LThiZTgtMDc3Mzg0NjFhN2MwIn0%3D&activityId=9324&activity_id=9324
222,Stretch Denim Low Rise Contrasting Binding Flared Jeans With Belt,Multicolor,Regular,Low Rise,Long,73% Cotton 23% Polyester 3% Viscose 1% Elastane; 90% Polyester 10% Elastane,Solid,Yes,Daily Casual,Belted Contrasting Binding Pocket,Flared Trousers,https://img1.shopcider.com/product/1758090350000-daDAec.jpg,https://www.shopcider.com/goods/stretch-denim-low-rise-contrasting-binding-flared-jeans-114936518?style_id=2207040&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114936518&shopPage=12&shopIndex=235&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B235&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=236&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjUyLjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU4MDkwMzUwMDAwLWRhREFlYy5qcGciLCJzcHUiOjExNDkzNjUxOCwic3B1Q29kZSI6IkNEMjAyNTA1MzA2MjAyNzFKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5OTU5NC1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1ODRmNTcyOC1iNGIyLTRhYzUtOGJlOC0wNzczODQ2MWE3YzAifQ%3D%3D&activityId=9324&activity_id=9324
223,Cider Denim Low Rise Solid Washed Pocket Wide Leg Jeans,Blue,Oversized,Low Rise,Long,80% Cotton 20% Polyester,Solid,Yes,Outdoor,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1721985316000-bcyTBK.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-solid-washed-pocket-wide-leg-jeans-111849357?style_id=2024869&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=111849357&shopPage=12&shopIndex=236&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B236&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=237&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoxOS4xNiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcyMTk4NTMxNjAwMC1iY3lUQksuanBnIiwic3B1IjoxMTE4NDkzNTcsInNwdUNvZGUiOiJDRDIwMjQwNjExNDk1NDE4Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTk1OTQtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNTg0ZjU3MjgtYjRiMi00YWM1LThiZTgtMDc3Mzg0NjFhN2MwIn0%3D&activityId=9324&activity_id=9324
224,Stretch Cider Denim Low Rise Bootcut Jeans,Blue,Slim,Low Rise,Long,75% Cotton 24% Polyester 1% Elastane,Solid,Yes,Daily Casual,,Flared Trousers,https://img1.shopcider.com/product/1742961431000-heHXMi.jpg,https://www.shopcider.com/goods/denim-low-rise-flared-trousers-114495558?style_id=2141687&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114495558&shopPage=12&shopIndex=237&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B237&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=238&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWFqOi6q%20WbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6ZmFsc2UsInNhbGVQcmljZSI6MzguMzIsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NDUyMzc1ODIwMDAtWjJNYm1zLmpwZyIsInNwdSI6MTE0NDk1NTU4LCJzcHVDb2RlIjoiQ0QyMDI1MDIxNzU5Njk4NEpOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2Nzk5NTk0LWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU4NGY1NzI4LWI0YjItNGFjNS04YmU4LTA3NzM4NDYxYTdjMCJ9&activityId=9324&activity_id=9324
225,Cider Denim Low Rise Cut Out Flared Jeans,Blue,Regular,Low Rise,Long,75% Cotton 25% Polyester,Solid,Yes,Music Festival/Live House,Cut Out Pocket,Flared Trousers,https://img1.shopcider.com/product/1706691752000-MKMKZ7.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-cut-out-flared-jeans-107234044?style_id=1168066&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=107234044&shopPage=12&shopIndex=238&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B238&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=239&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ0LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyNi45NCwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcwNjY5MTc1MjAwMC1NS01LWjcuanBnIiwic3B1IjoxMDcyMzQwNDQsInNwdUNvZGUiOiJDRDIwMjMxMTIxNDI2MzQxSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTk1OTQtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNTg0ZjU3MjgtYjRiMi00YWM1LThiZTgtMDc3Mzg0NjFhN2MwIn0%3D&activityId=9324&activity_id=9324
226,Cider Denim Low Rise Solid Washed Wide Leg Jeans,Blue,Regular,Low Rise,Long,90% Cotton 10% Polyester,Solid,Yes,Daily Casual,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1719565676000-pP7zB2.jpg,https://www.shopcider.com/goods/denim-mid-rise-solid-wide-leg-jeans-110841883?style_id=2012264&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=110841883&shopPage=12&shopIndex=239&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B239&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=240&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOC4zMiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcxOTU2NTY3NjAwMC1wUDd6QjIuanBnIiwic3B1IjoxMTA4NDE4ODMsInNwdUNvZGUiOiJDRDIwMjQwNjA3NDkzNjQxSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY4MDIxMDAtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjk1NmM3OTQtMzFmNy00Njc5LTgzNmMtZTYwYzIyMmJkOTQ5In0%3D&activityId=9324&activity_id=9324
227,Cider Denim Mid Rise Heart Graphic Baggy Jeans,Blue,Oversized,Mid Rise,Long,80% Cotton 20% Polyester,Conversational,Yes,School Daily Casual,Pocket,Straight Leg Trousers,https://img1.shopcider.com/product/1713506402000-emxEfC.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-heart-graphic-baggy-wide-leg-jeans-108823832?style_id=1171256&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=108823832&shopPage=12&shopIndex=240&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B240&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=241&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyOC43NCwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcxMzUwNjQwMjAwMC1lbXhFZkMuanBnIiwic3B1IjoxMDg4MjM4MzIsInNwdUNvZGUiOiJDRDIwMjQwMzI5NDY1MTY2Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY4MDIxMDAtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjk1NmM3OTQtMzFmNy00Njc5LTgzNmMtZTYwYzIyMmJkOTQ5In0%3D&activityId=9324&activity_id=9324
